codigo mun	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab
2903102	96	48	48	96	0	128	64	64	128	0	96	48	48	96	0	96	48	48	96	0	96	48	48	96	0	128	64	64	128	0	144	96	48	144	0	96	32	64	96	0	80	16	64	80	0
2903201	221	130	91	207	15	228	133	95	211	17	226	129	97	213	13	242	145	97	222	20	273	148	125	250	23	305	159	147	275	30	189	37	152	161	28	334	167	167	276	58	353	181	172	296	56
2903235	72	33	39	72	0	53	20	33	53	0	53	20	33	53	0	66	20	46	66	0	79	33	46	79	0	85	39	46	85	0	145	99	46	145	0	85	33	53	85	0	85	39	46	85	0
2903276	86	43	43	86	0	92	37	55	92	0	98	49	49	98	0	110	61	49	110	0	117	49	68	117	0	129	43	86	123	6	141	49	92	135	6	129	37	92	123	6	129	43	86	123	6
2903300	256	192	64	240	16	144	80	64	144	0	128	80	48	128	0	224	128	96	224	0	272	176	96	272	0	256	160	96	256	0	256	144	112	256	0	224	112	112	224	0	192	80	112	192	0
2903409	158	96	62	150	8	146	79	67	142	4	158	83	75	154	4	142	71	71	137	4	146	71	75	142	4	146	71	75	146	0	125	50	75	125	0	158	79	79	158	0	158	67	92	158	0
2903508	181	99	82	181	0	153	60	93	153	0	164	60	104	164	0	142	44	99	142	0	164	44	121	164	0	186	77	110	186	0	395	279	115	395	0	175	60	115	175	0	175	66	110	175	0
2903607	66	30	36	66	0	96	36	60	96	0	102	36	66	102	0	66	30	36	66	0	84	42	42	84	0	60	18	42	60	0	108	54	54	108	0	150	54	96	150	0	150	54	96	150	0
2903706	64	14	50	64	0	85	36	50	85	0	78	21	57	78	0	107	21	85	107	0	135	57	78	135	0	149	64	85	149	0	114	28	85	114	0	100	36	64	100	0	100	28	71	100	0
2903805	97	51	46	97	0	87	41	46	87	0	87	41	46	87	0	97	41	56	97	0	113	62	51	113	0	92	41	51	92	0	82	31	51	82	0	144	82	62	144	0	113	56	56	113	0
2903904	89	42	47	85	4	112	59	52	99	13	99	42	57	86	13	123	55	68	109	14	157	75	82	143	14	191	86	105	180	11	140	25	115	127	13	204	91	113	191	13	214	101	113	202	11
2903953	134	76	57	134	0	115	67	48	115	0	153	86	67	153	0	153	86	67	153	0	191	115	76	191	0	153	86	67	153	0	134	67	67	134	0	172	86	86	172	0	191	86	105	191	0
2904001	81	41	41	81	0	68	34	34	68	0	75	41	34	75	0	61	27	34	61	0	81	27	54	81	0	75	27	47	75	0	61	14	47	61	0	75	27	47	75	0	68	20	47	68	0
2904050	93	35	58	93	0	88	29	58	88	0	76	23	53	76	0	76	29	47	76	0	76	18	58	76	0	88	29	58	88	0	88	29	58	88	0	88	29	58	88	0	105	47	58	105	0
2904100	89	36	53	89	0	93	36	58	93	0	98	45	53	98	0	93	45	49	93	0	89	40	49	89	0	80	40	40	80	0	40	18	22	40	0	98	40	58	98	0	120	31	89	120	0
2904209	165	83	83	156	9	184	83	101	174	9	156	73	83	147	9	110	55	55	101	9	92	37	55	83	9	101	46	55	92	9	569	523	46	569	0	147	64	83	147	0	165	64	101	165	0
2904308	79	13	66	79	0	46	13	33	46	0	79	26	53	79	0	86	26	60	86	0	73	33	40	73	0	86	33	53	86	0	79	46	33	79	0	73	33	40	73	0	79	33	46	79	0
2904407	65	28	37	65	0	65	18	46	65	0	46	18	28	46	0	65	9	55	65	0	65	18	46	65	0	92	37	55	92	0	102	46	55	102	0	102	55	46	102	0	83	18	65	83	0
2904506	100	46	55	100	0	73	27	46	64	9	109	46	64	100	9	82	27	55	82	0	91	36	55	91	0	137	55	82	137	0	155	82	73	155	0	146	55	91	146	0	128	55	73	128	0
2904605	151	92	59	128	23	161	88	73	141	20	181	99	82	149	32	215	111	105	188	27	225	123	102	198	27	227	128	99	199	27	144	44	99	102	42	237	144	93	191	46	263	149	113	217	46
2904704	125	68	57	125	0	99	52	47	99	0	104	52	52	104	0	99	42	57	99	0	119	47	73	119	0	93	31	62	93	0	192	140	52	192	0	109	36	73	109	0	119	36	83	119	0
2904753	28	14	14	28	0	32	14	18	32	0	32	9	23	32	0	41	18	23	41	0	69	32	37	69	0	60	23	37	60	0	96	50	46	96	0	101	32	69	101	0	92	18	73	92	0
2904803	140	64	77	140	0	128	38	89	128	0	153	51	102	153	0	204	102	102	204	0	166	89	77	166	0	153	77	77	153	0	204	128	77	204	0	140	51	89	140	0	115	38	77	115	0
2904852	62	16	47	62	0	98	52	47	98	0	93	41	52	93	0	109	41	67	109	0	104	41	62	104	0	83	21	62	83	0	83	21	62	83	0	140	47	93	140	0	119	26	93	119	0
2904902	122	77	46	117	6	131	80	51	128	3	171	111	60	157	14	162	94	68	148	14	176	88	88	159	17	196	105	91	179	17	253	176	77	236	17	165	91	74	142	23	185	100	85	162	23
2905008	113	80	34	101	13	105	63	42	92	13	101	59	42	84	17	109	50	59	92	17	155	80	76	130	25	168	88	80	126	42	172	88	84	118	55	172	92	80	122	50	223	126	97	139	84
2905107	99	60	40	99	0	109	50	60	109	0	99	50	50	99	0	149	99	50	149	0	139	89	50	139	0	139	89	50	139	0	129	70	60	129	0	109	60	50	109	0	159	89	70	159	0
2905156	62	31	31	62	0	75	31	43	75	0	75	31	43	75	0	56	6	50	56	0	106	50	56	99	6	99	37	62	93	6	93	37	56	93	0	68	25	43	68	0	106	37	68	106	0
2905206	79	55	25	64	15	108	70	38	95	13	123	79	44	106	17	144	91	53	132	11	153	104	49	134	19	176	114	62	157	19	151	81	70	134	17	199	125	74	182	17	204	123	81	180	25
2905305	79	37	42	79	0	100	32	68	100	0	79	26	53	79	0	74	21	53	74	0	95	37	58	95	0	121	47	74	121	0	1889	1826	63	1889	0	132	53	79	132	0	126	63	63	126	0
2905404	49	27	22	49	0	60	33	27	60	0	49	22	27	49	0	38	11	27	38	0	38	16	22	38	0	66	22	44	66	0	126	60	66	126	0	121	66	55	121	0	121	60	60	121	0
2905503	102	44	58	102	0	88	51	36	88	0	117	51	66	117	0	88	36	51	88	0	95	36	58	95	0	109	44	66	109	0	102	51	51	102	0	139	66	73	139	0	102	44	58	102	0
2905602	117	75	42	117	0	108	72	36	108	0	108	66	42	108	0	111	60	51	111	0	144	78	66	144	0	153	84	69	153	0	177	111	66	177	0	183	93	90	177	6	147	66	81	144	3
2905701	216	159	57	174	42	221	159	62	180	40	222	163	59	183	39	244	173	70	203	40	255	177	78	211	44	234	154	80	197	37	124	35	89	86	38	252	162	90	206	46	298	194	104	239	59
2905800	90	57	33	74	16	76	41	35	57	19	82	49	33	63	19	87	49	38	68	19	93	49	44	76	16	87	46	41	68	19	87	44	44	74	14	109	55	55	93	16	128	57	71	112	16
2905909	67	30	37	67	0	73	30	43	73	0	70	23	47	70	0	100	43	57	100	0	80	27	53	80	0	77	30	47	77	0	103	53	50	103	0	103	40	63	103	0	87	27	60	83	3
