Posição	Código IBGE	Município	População
2817º	3117801	Conceição dos Ouros	11467
2818º	2300507	Alcântaras	11459
2819º	3203163	Laranja da Terra	11457
2820º	4304689	Capela de Santana	11455
2821º	3124500	Estiva	11449
2822º	4313656	Palmares do Sul	11449
2823º	2610301	Paranatama	11449
2824º	2804102	Moita Bonita	11438
2825º	2609204	Maraial	11433
2826º	2204303	Fronteiras	11432
2827º	4214706	Rio dos Cedros	11431
2828º	4202206	Benedito Novo	11425
2829º	4128534	Ventania	11407
2830º	3109907	Caetanópolis	11399
2831º	2917334	Iuiú	11399
2832º	1507961	Terra Alta	11399
2833º	3532603	Nhandeara	11398
2834º	3149150	Pedras de Maria da Cruz	11396
2835º	4206207	Gravatal	11394
2836º	1503408	Inhangapi	11388
2837º	3513900	Divinolândia	11384
2838º	2201150	Baixa Grande do Ribeiro	11375
2839º	3162559	São João do Manhuaçu	11367
2840º	3517000	Getulina	11362
2841º	1507805	Senador José Porfírio	11357
2842º	1200393	Porto Walter	11353
2843º	5106240	Nova Ubiratã	11352
2844º	1101609	Theobroma	11350
2845º	2402709	Cerro Corá	11344
2846º	3519105	Iacanga	11343
2847º	2205003	Itainópolis	11343
2848º	2608255	Jucati	11334
2849º	2400109	Acari	11333
2850º	4110201	Inácio Martins	11331
2851º	3539004	Pirangi	11323
2852º	2406700	Lajes	11316
2853º	2506103	Fagundes	11313
2854º	4116703	Nova Aurora	11300
2855º	2306801	Jaguaribara	11295
2856º	3300159	Aperibé	11292
2857º	5107859	São Félix do Araguaia	11290
2858º	2105963	Lagoa Grande do Maranhão	11286
2859º	4120507	Primeiro de Maio	11286
2860º	3124906	Eugenópolis	11285
2861º	5007950	Tacuru	11284
2862º	2930766	Sítio do Quinto	11283
2863º	2611200	Poção	11268
2864º	4118105	Paranacity	11265
2865º	5002001	Batayporã	11248
2866º	4105102	Centenário do Sul	11246
2867º	3152303	Porto Firme	11245
2868º	2301406	Aratuba	11244
2869º	2402105	Campo Redondo	11244
2870º	2911006	Floresta Azul	11244
2871º	1300060	Amaturá	11242
2872º	2614303	Moreilândia	11238
2873º	4100806	Alvorada do Sul	11237
2874º	3506904	Bofete	11236
2875º	3109105	Bueno Brandão	11233
2876º	3202900	Itarana	11231
2877º	2202406	Capitão de Campos	11229
2878º	2412906	São Tomé	11223
2879º	5216403	Paraúna	11221
2880º	2702504	Dois Riachos	11214
2881º	2900504	Érico Cardoso	11212
2882º	2400307	Afonso Bezerra	11211
2883º	2103901	Duque Bacelar	11208
2884º	2105203	Igarapé Grande	11206
2885º	4218905	Urubici	11191
2886º	2203206	Curimatá	11190
2887º	4315404	Redentora	11187
2888º	3506300	Bernardino de Campos	11180
2889º	3301603	Duas Barras	11169
2890º	2927903	Santa Inês	11161
2891º	3526506	Lavínia	11156
2892º	1101757	Vale do Anari	11149
2893º	4320206	Seberi	11144
2894º	1200179	Capixaba	11136
2895º	3537206	Pedro de Toledo	11136
2896º	1703800	Buriti do Tocantins	11135
2897º	4207908	Irineópolis	11133
2898º	2806800	São Domingos	11133
2899º	5003488	Dois Irmãos do Buriti	11132
2900º	4216008	São Carlos	11132
2901º	2917904	Jandaíra	11120
2902º	2509008	Manaíra	11120
2903º	3503604	Areiópolis	11107
2904º	2101772	Bela Vista do Maranhão	11103
2905º	4118907	Pérola	11101
2906º	4315800	Roca Sales	11101
2907º	3123700	Engenheiro Caldas	11098
2908º	4108007	Florestópolis	11087
2909º	5205802	Corumbá de Goiás	11086
2910º	2515401	São Vicente do Seridó	11084
2911º	2307908	Martinópole	11082
2912º	3151305	Piraúba	11080
2913º	3536000	Parapuã	11073
2914º	3165008	São Tiago	11073
2915º	3557303	Estiva Gerbi	11067
2916º	4204707	Cunha Porã	11057
2917º	2603306	Calçado	11055
2918º	4317707	Santo Antônio das Missões	11051
2919º	2105922	Lagoa do Mato	11048
2920º	2601003	Angelim	11045
2921º	2111748	Senador Alexandre Costa	11042
2922º	2111789	Serrano do Maranhão	11040
2923º	3125952	Fervedouro	11039
2924º	5218607	Rialma	11036
2925º	3204807	São José do Calçado	11036
2926º	5217203	Piranhas	11022
2927º	2102408	Cajapió	11019
2928º	2304905	Groaíras	11012
2929º	2924652	Pintadas	11012
2930º	3158003	Santa Maria de Itabira	11007
2931º	4125001	São João do Ivaí	11005
2932º	2100501	Alto Parnaíba	11001
2933º	3140852	Matias Cardoso	10999
2934º	3133709	Itatiaiuçu	10979
2935º	2111052	São João do Paraíso	10977
2936º	2904506	Brotas de Macaúbas	10974
2937º	5105200	Juscimeira	10971
2938º	2516409	Tacima	10967
2939º	3517901	Guaraci	10964
2940º	3556602	Vera Cruz	10963
2941º	3129301	Iapu	10962
2942º	3108255	Bonito de Minas	10951
2943º	3516903	General Salgado	10951
2944º	4121802	Ribeirão Claro	10941
2945º	2920809	Marcionílio Souza	10931
2946º	4125803	São Pedro do Ivaí	10928
2947º	5100508	Alto Paraguai	10921
2948º	2311207	Potengi	10918
2949º	4321667	Três Cachoeiras	10904
2950º	3136504	Jordânia	10901
2951º	2408953	Rio do Fogo	10901
2952º	5108501	Vera	10901
2953º	2708105	Santana do Mundaú	10899
2954º	2904209	Botuporã	10898
2955º	2701209	Cacimbinhas	10897
2956º	3548609	São Bento do Sapucaí	10895
2957º	2702009	Coité do Noia	10888
2958º	5106299	Paranaíta	10884
2959º	4116059	Missal	10879
2960º	2507200	Itatuba	10876
2961º	3151107	Pirapetinga	10876
2962º	3145356	Novo Oriente de Minas	10869
2963º	3141603	Mercês	10868
2964º	3504909	Bananal	10867
2965º	1400282	Iracema	10859
2966º	3149705	Perdigão	10846
2967º	2205102	Itaueira	10845
2968º	3142106	Miradouro	10837
2969º	4308300	Fontoura Xavier	10836
2970º	2904407	Brejolândia	10833
2971º	2916302	Itapebi	10830
2972º	2301257	Ararendá	10823
2973º	3543709	Rincão	10823
2974º	4321006	Tapera	10814
2975º	2414100	Tenente Ananias	10814
2976º	2916609	Itapitanga	10799
2977º	1707405	Esperantina	10793
2978º	3171808	Virginópolis	10793
2979º	5007703	Sete Quedas	10790
2980º	2310951	Pires Ferreira	10784
2981º	2929370	São José do Jacuípe	10784
2982º	4321436	Terra de Areia	10783
2983º	2414506	Umarizal	10781
2984º	4122503	Roncador	10779
2985º	3107901	Bom Repouso	10775
2986º	3161908	São Gonçalo do Rio Abaixo	10773
2987º	2507903	Juripiranga	10770
2988º	2206100	Matias Olímpio	10759
2989º	3532900	Nova Europa	10755
2990º	1703008	Babaçulândia	10752
2991º	1101203	Ministro Andreazza	10751
2992º	2612109	Salgadinho	10747
2993º	4205308	Faxinal dos Guedes	10745
2994º	4117255	Nova Prata do Iguaçu	10745
2995º	3550001	São Luiz do Paraitinga	10740
2996º	2202505	Caracol	10729
2997º	1702406	Arraias	10727
2998º	4315107	Porto Xavier	10718
2999º	4123857	Santa Maria do Oeste	10716
3000º	2402501	Carnaubais	10715
3001º	2102754	Capinzal do Norte	10713
3002º	2403509	Espírito Santo	10702
3003º	2104503	Governador Archer	10700
3004º	2806107	Rosário do Catete	10699
3005º	3154101	Recreio	10697
3006º	4316105	Ronda Alta	10695
3007º	2706422	Pariconha	10684
3008º	2928505	Santa Teresinha	10682
3009º	2701100	Branquinha	10675
3010º	2923902	Pau Brasil	10673
3011º	2105807	Lago do Junco	10672
3012º	3520426	Ilha Comprida	10656
3013º	4124806	São João	10644
3014º	2510105	Nova Floresta	10639
3015º	4204004	Catanduvas	10632
3016º	4314704	Planalto	10623
3017º	3115805	Centralina	10622
3018º	3166204	Senhora dos Remédios	10622
3019º	4301404	Arvorezinha	10614
3020º	2207603	Parnaguá	10613
3021º	4110805	Iretama	10608
3022º	3306156	Varre-Sai	10597
3023º	3109204	Buenópolis	10594
3024º	1100924	Chupinguaia	10593
3025º	3170503	Urucânia	10589
3026º	4110953	Itaipulândia	10587
3027º	2511806	Pirpirituba	10585
3028º	4200200	Agrolândia	10581
3029º	3104106	Arceburgo	10578
3030º	3153608	Prudente de Morais	10577
3031º	4207205	Imaruí	10571
3032º	1716208	Paranã	10562
3033º	3126505	Francisco Badaró	10557
3034º	4115101	Mariluz	10555
3035º	5216809	Petrolina de Goiás	10548
3036º	3122454	Divisópolis	10547
3037º	3130200	Igaratinga	10547
3038º	4201257	Apiúna	10542
3039º	3128204	Guaraciaba	10542
3040º	4208708	Jacinto Machado	10539
3041º	1506104	Primavera	10534
3042º	1400407	Normandia	10527
3043º	1600204	Calçoene	10525
3044º	2204402	Gilbués	10522
3045º	3544301	Roseira	10512
3046º	3164506	São Sebastião do Maranhão	10511
3047º	3132909	Itamogi	10501
3048º	2103109	Cedral	10490
3049º	3120508	Cristina	10482
3050º	2903953	Bom Jesus da Serra	10477
3051º	4124020	Santa Tereza do Oeste	10471
3052º	2509909	Natuba	10460
3053º	5000856	Angélica	10458
3054º	4105003	Catanduvas	10451
3055º	2206605	Monte Alegre do Piauí	10448
3056º	3509304	Cajobi	10444
3057º	2615201	Terra Nova	10437
3058º	5203203	Barro Alto	10435
3059º	3125903	Ferros	10432
3060º	5105580	Marcelândia	10422
3061º	3106002	Bela Vista de Minas	10416
3062º	2111904	Sucupira do Norte	10416
3063º	4202073	Balneário Gaivota	10413
3064º	2924678	Piraí do Norte	10411
3065º	2206407	Monsenhor Gil	10409
3066º	4320677	Sinimbu	10408
3067º	2202059	Cabeceiras do Piauí	10406
3068º	2404408	Grossos	10386
3069º	2505709	Dona Inês	10383
3070º	3156601	Rubim	10377
3071º	3144656	Ninheira	10375
3072º	3117108	Conceição da Aparecida	10374
3073º	2303659	Catunda	10365
3074º	2800407	Arauá	10362
3075º	3305901	Trajano de Moraes	10352
3076º	3136900	Juruaia	10341
3077º	3119203	Coroaci	10339
3078º	2204501	Guadalupe	10335
3079º	2104081	Fernando Falcão	10326
3080º	4202057	Balneário Barra do Sul	10317
3081º	4102604	Barracão	10314
3082º	1101104	Itapuã do Oeste	10310
3083º	4207809	Irani	10285
3084º	2920007	Maiquinique	10274
3085º	2503308	Cachoeira dos Índios	10265
3086º	4206405	Guaraciaba	10259
3087º	2500106	Água Branca	10258
3088º	2401701	Bom Jesus	10254
3089º	3201100	Bom Jesus do Norte	10254
3090º	2203107	Cristino Castro	10253
3091º	5100607	Alto Taquari	10246
3092º	5212808	Mara Rosa	10228
3093º	4100707	Alto Piquiri	10222
3094º	2105450	Jatobá	10221
3095º	2407005	Luís Gomes	10211
3096º	2805901	Riachuelo	10196
3097º	2912004	Ibiassucê	10183
3098º	3304607	Santa Maria Madalena	10172
3099º	2914109	Ipupiara	10157
3100º	2906105	Canápolis	10151
3101º	3556354	Vargem	10143
3102º	5102793	Carlinda	10136
3103º	4204400	Coronel Freitas	10130
3104º	3131505	Ipuiuna	10125
3105º	3154804	Rio Acima	10123
3106º	4305801	Constantina	10109
3107º	2410306	Serra Caiada	10099
3108º	3543808	Rinópolis	10098
3109º	2405306	Boa Saúde	10096
3110º	3123007	Dores de Campos	10093
3111º	3200136	Águia Branca	10085
3112º	3114550	Carneirinho	10072
3113º	2612000	Sairé	10065
3114º	2905107	Caém	10058
3115º	1100502	Novo Horizonte do Oeste	10051
3116º	3555604	Uchoa	10047
3117º	4214201	Quilombo	10044
3118º	4115754	Mauá da Serra	10039
3119º	2201606	Beneditinos	10037
3120º	3551108	Sarapuí	10034
3121º	3100500	Açucena	9997
3122º	5004106	Guia Lopes da Laguna	9991
3123º	4212650	Pescaria Brava	9980
3124º	4200705	Alfredo Wagner	9960
3125º	5004007	Glória de Dourados	9960
3126º	2921906	Mucugê	9957
3127º	3554706	Torrinha	9934
3128º	2918456	Jucuruçu	9924
3129º	2509800	Mulungu	9922
3130º	2104651	Governador Newton Bello	9921
3131º	5216304	Paranaiguara	9919
3132º	2517001	Umbuzeiro	9913
3133º	3121258	Delta	9904
3134º	2914307	Iramaia	9901
3135º	3534757	Ouroeste	9897
3136º	2210656	Sigefredo Pacheco	9880
3137º	2508000	Juru	9868
3138º	5205000	Carmo do Rio Verde	9862
3139º	4313953	Pantano Grande	9845
3140º	1506401	Santa Cruz do Arari	9845
3141º	1400704	Uiramutã	9836
3142º	2916203	Itapé	9830
3143º	5205307	Cavalcante	9829
3144º	4202602	Bom Retiro	9796
3145º	5107180	Ribeirão Cascalheira	9796
3146º	1703842	Campos Lindos	9795
3147º	4211058	Monte Carlo	9785
3148º	1702901	Axixá do Tocantins	9776
3149º	2906899	Caraíbas	9773
3150º	2401305	Campo Grande	9768
3151º	5201801	Aragoiânia	9765
3152º	2907558	Caturama	9764
3153º	2933406	Wagner	9753
3154º	1701002	Ananás	9749
3155º	1101005	Governador Jorge Teixeira	9745
3156º	3528601	Manduri	9714
3157º	2200707	Anísio de Abreu	9705
3158º	3148301	Paula Cândido	9698
3159º	5100805	Apiacás	9694
3160º	2701506	Campo Grande	9692
3161º	3112505	Capim Branco	9678
3162º	3154507	Riacho dos Machados	9672
3163º	1200138	Bujari	9664
3164º	4217303	Saudades	9664
3165º	2204808	Ipiranga do Piauí	9649
3166º	3103009	Antônio Dias	9637
3167º	5219704	Santa Terezinha de Goiás	9622
3168º	3133600	Itapeva	9618
3169º	2412559	São Miguel do Gostoso	9606
3170º	5108055	Terra Nova do Norte	9606
3171º	4312906	Nova Bassano	9599
3172º	4305306	Chapada	9597
3173º	3126901	Frei Inocêncio	9597
3174º	2805109	Pedrinhas	9594
3175º	2924900	Planaltino	9582
3176º	4122602	Rondon	9581
3177º	2921450	Mirante	9578
3178º	2410405	Pureza	9568
3179º	3540507	Porangaba	9565
3180º	3515350	Euclides da Cunha Paulista	9559
3181º	3113503	Carbonita	9544
3182º	2907004	Cardeal da Silva	9544
3183º	5203906	Buriti Alegre	9535
3184º	2304269	Deputado Irapuan Pinheiro	9521
3185º	3532827	Nova Campina	9504
3186º	4216107	São Domingos	9502
3187º	2922854	Nova Redenção	9500
3188º	3535200	Palmeira d'Oeste	9496
3189º	1400233	Caroebe	9493
3190º	2616100	Verdejante	9490
3191º	2516805	Triunfo	9482
3192º	3102704	Cachoeira de Pajeú	9479
3193º	3514601	Dumont	9468
3194º	2705804	Olho d'Água do Casado	9459
3195º	3205150	Vila Pavão	9459
3196º	5101308	Arenápolis	9455
3197º	3503703	Ariranha	9451
3198º	2933109	Várzea do Poço	9449
3199º	3520202	Igaratá	9443
3200º	3137536	Lagoa Grande	9440
3201º	3118700	Coqueiral	9432
3202º	3112901	Caputira	9431
3203º	2704609	Maravilha	9418
3204º	3119500	Coronel Murta	9411
3205º	2925931	Quixabeira	9411
3206º	4304358	Candiota	9406
3207º	2927101	Rodelas	9405
3208º	2203453	Dom Inocêncio	9404
3209º	2928950	São Domingos	9404
3210º	3519006	Herculândia	9397
3211º	5215009	Nova Veneza	9389
3212º	2933174	Varzedo	9375
3213º	3202553	Ibitirama	9373
3214º	4305009	Catuípe	9335
3215º	5205901	Corumbaíba	9332
3216º	2101970	Boa Vista do Gurupi	9320
3217º	1714203	Natividade	9312
3218º	2401404	Baía Formosa	9309
3219º	5107941	Tabaporã	9309
3220º	4112405	Japurá	9307
3221º	3126208	Formoso	9294
3222º	4125209	São Jorge d'Oeste	9291
3223º	3545407	Salto Grande	9287
3224º	2310001	Palhano	9285
3225º	2204659	Ilha Grande	9268
3226º	2928307	Santanópolis	9263
3227º	2403806	Florânia	9262
3228º	2923506	Palmeiras	9250
3229º	2805307	Pirambu	9241
3230º	3554409	Terra Roxa	9227
3231º	3171030	Verdelândia	9220
3232º	1304005	Silves	9211
3233º	2900108	Abaíra	9199
3234º	3159209	Santa Rita de Caldas	9198
3235º	1720804	Sítio Novo do Tocantins	9192
3236º	2902302	Aratuípe	9171
3237º	4100301	Agudos do Sul	9161
3238º	2701803	Carneiros	9155
3239º	2204204	Francisco Santos	9154
3240º	3555802	Urânia	9148
3241º	3116803	Coluna	9146
3242º	5202502	Aruanã	9138
3243º	1302009	Itapiranga	9125
3244º	5103452	Denise	9115
3245º	5205471	Chapadão do Céu	9110
3246º	3305307	São Sebastião do Alto	9094
3247º	3155405	Rio Novo	9084
3248º	4304903	Casca	9079
3249º	2501401	Baía da Traição	9070
3250º	2405009	Jaçanã	9068
3251º	4114906	Marilândia do Sul	9068
3252º	2917359	Jaborandi	9056
3253º	3542107	Rafard	9054
3254º	5203559	Bonfinópolis	9052
3255º	4301057	Arroio do Sal	9050
3256º	3128402	Guarani	9047
3257º	3138658	Lontra	9044
3258º	3542503	Reginópolis	9042
3259º	3118908	Cordisburgo	9029
3260º	3152709	Prados	9021
3261º	5211404	Itauçu	9019
3262º	2919108	Lamarão	9007
3263º	3532504	Neves Paulista	8999
3264º	2206696	Murici dos Portelas	8997
3265º	3103900	Araújos	8996
3266º	4126009	São Sebastião da Amoreira	8985
3267º	3304508	Rio das Flores	8984
3268º	4306932	Entre-Ijuís	8981
3269º	2602407	Brejão	8973
3270º	3511300	Cedral	8971
3271º	2310605	Penaforte	8956
3272º	3536604	Paulo de Faria	8953
3273º	2921609	Morpará	8950
3274º	2102374	Cachoeira Grande	8930
3275º	4207650	Iporã do Oeste	8930
3276º	5000807	Anaurilândia	8927
3277º	4128559	Vera Cruz do Oeste	8918
3278º	2923308	Ouriçangas	8916
3279º	3514304	Dourado	8909
3280º	3504800	Bálsamo	8908
3281º	2909000	Cordeiros	8904
3282º	5203401	Bom Jardim de Goiás	8896
3283º	1707702	Filadélfia	8893
3284º	3152907	Pratápolis	8890
3285º	2107001	Montes Altos	8889
3286º	2919058	Lagedo do Tabocal	8886
3287º	1200344	Manoel Urbano	8886
3288º	3549508	São José da Bela Vista	8885
3289º	3171709	Virgínia	8870
3290º	2804458	Nossa Senhora Aparecida	8869
3291º	4112751	Jesuítas	8861
3292º	3143500	Morada Nova de Minas	8860
3293º	4123709	Santa Isabel do Ivaí	8858
3294º	2920304	Malhada de Pedras	8856
3295º	3158904	Santana do Manhuaçu	8853
3296º	2912806	Ibirapuã	8852
3297º	2313252	Tarrafas	8852
3298º	2807204	Siriri	8851
3299º	5214408	Nazário	8850
3300º	4215679	Santa Terezinha	8846
3301º	2208650	Queimada Nova	8842
3302º	3151909	Pocrane	8841
3303º	2906402	Candeal	8837
3304º	5004809	Japorã	8836
3305º	4127908	Tuneiras do Oeste	8833
3306º	5108956	Nova Monte Verde	8822
3307º	4106001	Congonhinhas	8821
3308º	3204658	São Domingos do Norte	8818
3309º	4319802	São Vicente do Sul	8817
3310º	3166709	Serra dos Aimorés	8809
3311º	5000906	Antônio João	8808
3312º	2407401	Martins	8793
3313º	4203501	Campo Erê	8787
3314º	5105002	Jauru	8776
3315º	3169208	Tombos	8772
3316º	3546900	Santa Lúcia	8758
3317º	1600105	Amapá	8757
3318º	3514007	Dobrada	8744
3319º	4217907	Tangará	8738
3320º	5106265	Novo Mundo	8730
3321º	3150505	Pimenta	8720
3322º	3129004	Guiricema	8714
3323º	3142601	Monsenhor Paulo	8711
3324º	3148509	Pavão	8709
3325º	2102150	Brejo de Areia	8696
3326º	4316709	Santa Bárbara do Sul	8694
3327º	1702000	Araguaçu	8692
3328º	3135357	Japonvar	8683
3329º	3112802	Capitólio	8682
3330º	4311155	Jóia	8679
3331º	2105948	Lago dos Rodrigues	8664
3332º	4308805	General Câmara	8663
3333º	1100072	Corumbiara	8659
3334º	5200803	Alvorada do Norte	8645
3335º	2308807	Moraújo	8636
3336º	2208700	Redenção do Gurgueia	8634
3337º	4108957	Guamiranga	8619
3338º	2103125	Central do Maranhão	8615
3339º	2802700	Ilha das Flores	8611
3340º	2512804	Riacho dos Cavalos	8609
3341º	3151008	Piranguinho	8597
3342º	2916708	Itaquara	8592
3343º	4216800	São José do Cerrito	8588
3344º	2509057	Marcação	8586
3345º	4103503	Califórnia	8583
3346º	3144508	Nazareno	8583
3347º	2206803	Nossa Senhora dos Remédios	8547
3348º	3157336	Santa Cruz de Minas	8547
3349º	3103702	Araponga	8544
3350º	3102852	Angelândia	8541
3351º	3140555	Mata Verde	8539
3352º	3153509	Alto Jequitibá	8522
3353º	5214861	Nova Glória	8521
3354º	4201505	Armazém	8520
3355º	1700707	Alvorada	8516
3356º	4322301	Tuparendi	8494
3357º	2603603	Camutanga	8493
3358º	2407302	Marcelino Vieira	8492
3359º	4314159	Paverama	8485
3360º	3519253	Iaras	8484
3361º	4109906	Icaraíma	8482
3362º	2915700	Itamari	8476
3363º	4211108	Monte Castelo	8471
3364º	4127809	Tomazina	8470
3365º	3515202	Estrela d'Oeste	8466
3366º	3517802	Guaraçaí	8466
3367º	2509305	Mataraca	8466
3368º	5213509	Monte Alegre de Goiás	8464
3369º	2910305	Elísio Medrado	8461
3370º	2112001	Tasso Fragoso	8455
3371º	5102850	Castanheira	8454
3372º	2703601	Japaratinga	8453
3373º	3503406	Arealva	8452
3374º	3534807	Ouro Verde	8440
3375º	4107256	Douradina	8439
3376º	2925402	Potiraguá	8438
3377º	2506251	Gado Bravo	8435
3378º	2500775	Aparecida	8430
3379º	2204907	Isaías Coelho	8428
3380º	2922805	Nova Itarana	8428
3381º	2206720	Nazária	8425
3382º	3513207	Cristais Paulista	8424
3383º	4317004	Santana da Boa Vista	8414
3384º	3537503	Pereiras	8410
3385º	1716703	Colméia	8409
3386º	2700607	Barra de São Miguel	8401
3387º	3129608	Ibiaí	8400
3388º	4204905	Descanso	8399
3389º	5222054	Vicentinópolis	8397
3390º	2205557	Lagoa Alegre	8395
3391º	3146503	Pains	8391
3392º	5205455	Cezarina	8386
3393º	2104073	Feira Nova do Maranhão	8372
3394º	4212254	Passo de Torres	8370
3395º	1718303	Praia Norte	8365
3396º	4117008	Nova Fátima	8356
3397º	4215653	Santa Rosa do Sul	8356
3398º	5204250	Cachoeira Dourada	8355
3399º	2412807	São Rafael	8343
3400º	2205953	Marcolândia	8342
3401º	3300951	Comendador Levy Gasparian	8336
3402º	3556909	Vista Alegre do Alto	8335
3403º	4201208	Antônio Carlos	8327
3404º	2106672	Milagres do Maranhão	8326
3405º	3147709	Passa Tempo	8324
3406º	5220504	Serranópolis	8323
3407º	2800704	Brejo Grande	8322
3408º	1504109	Magalhães Barata	8316
3409º	2505402	Desterro	8306
3410º	3154457	Riachinho	8290
3411º	3121803	Dionísio	8287
3412º	3548054	Santo Antônio do Aracanguá	8285
3413º	4127957	Tupãssi	8277
3414º	5212709	Mambaí	8271
3415º	2406601	Lagoa Salgada	8269
3416º	2919900	Macururé	8266
3417º	3511904	Clementina	8254
3418º	3521606	Irapuru	8248
3419º	3150158	Piedade de Caratinga	8247
3420º	2501575	Barra de Santana	8241
3421º	5213707	Montes Claros de Goiás	8236
3422º	2931103	Tanquinho	8232
3423º	5219407	Santa Rita do Araguaia	8218
3424º	5200050	Abadia de Goiás	8207
3425º	3121100	Delfim Moreira	8205
3426º	1100296	Santa Luzia d'Oeste	8198
3427º	2201960	Brasileira	8192
3428º	2402402	Carnaúba dos Dantas	8188
3429º	4117222	Nova Santa Rosa	8186
3430º	5108907	Nova Maringá	8182
3431º	3164001	São Pedro dos Ferros	8181
3432º	3157252	Santa Bárbara do Leste	8180
3433º	4107751	Figueira	8177
3434º	2413409	Serra Negra do Norte	8175
3435º	3130309	Iguatama	8172
3436º	3140530	Martins Soares	8172
3437º	2205854	Madeiro	8170
3438º	2615904	Tuparetama	8169
3439º	3143450	Montezuma	8168
3440º	2203008	Cristalândia do Piauí	8154
3441º	2403004	Cruzeta	8147
3442º	1301951	Itamarati	8128
3443º	2511103	Pedra Lavrada	8122
3444º	4111555	Ivaté	8120
3445º	2922730	Nova Fátima	8119
3446º	4123303	Santa Cruz de Monte Castelo	8113
3447º	3519808	Icém	8112
3448º	2202026	Buriti dos Montes	8108
3449º	3500402	Águas da Prata	8104
3450º	3519907	Iepê	8103
3451º	3528106	Macaubal	8086
3452º	2911659	Guajeru	8081
3453º	4309506	Guarani das Missões	8080
3454º	2410900	Riachuelo	8075
3455º	2100402	Altamira do Maranhão	8070
3456º	1503754	Jacareacanga	8059
3457º	4312252	Minas do Leão	8059
3458º	3105004	Baldim	8051
3459º	5107776	Santa Terezinha	8049
3460º	1101807	Vale do Paraíso	8047
3461º	3200359	Alto Rio Novo	8022
3462º	2708709	São Miguel dos Milagres	8022
3463º	3545159	Saltinho	8019
3464º	4210308	Major Vieira	8015
3465º	4314209	Pedro Osório	7999
3466º	5104906	Jangada	7996
3467º	3124807	Estrela do Sul	7981
3468º	5103601	Dom Aquino	7977
3469º	3553500	Tapiraí	7973
3470º	4304713	Caraá	7971
3471º	4127882	Tunas do Paraná	7971
3472º	2707404	Porto de Pedras	7965
3473º	3158508	Santana de Pirapama	7965
3474º	3128907	Guimarânia	7956
3475º	2507606	Juarez Távora	7950
3476º	3145877	Orizânia	7949
3477º	1717909	Ponte Alta do Tocantins	7949
3478º	2931400	Teodoro Sampaio	7936
3479º	5204003	Cabeceiras	7935
3480º	3200508	Apiacá	7932
3481º	4121752	Reserva do Iguaçu	7927
3482º	4109500	Guaraqueçaba	7923
3483º	4310504	Iraí	7921
3484º	4302451	Boqueirão do Leão	7914
3485º	4103057	Boa Vista da Aparecida	7911
3486º	2410207	Portalegre	7909
3487º	3204252	Ponto Belo	7901
3488º	3135605	Jequitaí	7890
3489º	3111408	Campo Florido	7886
3490º	3123528	Durandé	7884
3491º	3521507	Irapuã	7878
3492º	4201703	Ascurra	7877
3493º	3139706	Maravilhas	7876
3494º	5101605	Barão de Melgaço	7872
3495º	3531209	Monte Alegre do Sul	7871
3496º	5202155	Araguapaz	7862
3497º	1505601	Peixe-Boi	7860
3498º	1200328	Jordão	7858
3499º	3156304	Rodeiro	7857
3500º	3523800	Itobi	7853
3501º	2911501	Gongogi	7848
3502º	2307205	Jati	7847
3503º	2209971	São João do Arraial	7847
3504º	3106408	Belo Vale	7841
3505º	2904803	Caatiba	7841
3506º	3506409	Bilac	7837
3507º	4306056	Cristal	7831
3508º	4104105	Campo do Tenente	7829
3509º	5002159	Bodoquena	7820
3510º	3116506	Claro dos Poções	7819
3511º	3162609	São João do Oriente	7819
3512º	3166907	Serrania	7812
3513º	3134806	Jacuí	7809
3514º	4103800	Cambira	7808
3515º	4311502	Lavras do Sul	7807
3516º	3168804	Tiradentes	7807
3517º	5219001	Sanclerlândia	7798
3518º	3137106	Lagamar	7795
3519º	2515971	Sobrado	7795
3520º	3165701	Senador Firmino	7792
3521º	3505401	Barra do Turvo	7781
3522º	2301505	Arneiroz	7777
3523º	4305900	Coronel Bicaco	7776
3524º	5212303	Leopoldo de Bulhões	7773
3525º	1713601	Monte do Carmo	7770
3526º	1101435	Nova União	7769
3527º	4100103	Abatiá	7768
3528º	4218251	Timbó Grande	7767
3529º	2610103	Palmeirina	7761
3530º	4319158	São Miguel das Missões	7754
3531º	2806404	Santana do São Francisco	7751
3532º	5207253	Doverlândia	7750
3533º	2507408	Jericó	7742
3534º	1400506	São João da Baliza	7740
3535º	2306207	Itaiçaba	7738
3536º	2606705	Ibirajuba	7735
3537º	3552304	Sud Mennucci	7733
3538º	5007554	Santa Rita do Pardo	7732
3539º	2901957	Apuarema	7730
3540º	2514909	São Mamede	7721
3541º	2201051	Assunção do Piauí	7717
3542º	2104628	Governador Luiz Rocha	7708
3543º	2109759	Santa Filomena do Maranhão	7708
3544º	3511201	Catiguá	7700
3545º	3543253	Ribeirão Grande	7697
3546º	3527009	Lindoia	7695
3547º	4128609	Verê	7692
3548º	2109551	Ribamar Fiquene	7691
3549º	1715754	Palmeirópolis	7687
3550º	2804300	Muribeca	7683
3551º	5006408	Pedro Gomes	7683
3552º	2706604	Paulo Jacinto	7679
3553º	2514206	São José da Lagoa Tapada	7679
3554º	2922201	Muniz Ferreira	7678
3555º	4314027	Paraíso do Sul	7677
3556º	3135456	Jenipapo de Minas	7672
3557º	3165305	São Vicente de Minas	7672
3558º	2313708	Umari	7671
