Posição	Município	PIB (em mil reais)	Codigo IBGE
237	Cotegipe	124783	2909406
409	Cravolândia	41055	2909505
214	Crisópolis	143554	2909604
227	Cristópolis	131286	2909703
34	Cruz das Almas	961686	2909802
117	Curaçá	269056	2909901
302	Dário Meira	92041	2910008
14	Dias d'Ávila	3346132	2910057
240	Dom Basílio	123445	2910107
416	Dom Macedo Costa	31596	2910206
382	Elísio Medrado	58940	2910305
177	Encruzilhada	181804	2910404
63	Entre Rios	467036	2910503
384	Érico Cardoso	56854	2900504
59	Esplanada	489787	2910602
49	Euclides da Cunha	616993	2910701
16	Eunápolis	2535370	2910727
137	Fátima	222596	2910750
405	Feira da Mata	48397	2910776
3	Feira de Santana	13107354	2910800
253	Filadélfia	117328	2910859
408	Firmino Alves	44483	2910909
335	Floresta Azul	78633	2911006
33	Formosa do Rio Preto	985453	2911105
96	Gandu	318970	2911204
413	Gavião	37750	2911253
160	Gentio do Ouro	197590	2911303
190	Glória	167411	2911402
369	Gongogi	64370	2911501
115	Governador Mangabeira	273117	2911600
390	Guajeru	55176	2911659
28	Guanambi	1198658	2911709
141	Guaratinga	219726	2911808
312	Heliópolis	88493	2911857
161	Iaçu	197016	2911907
329	Ibiassucê	81015	2912004
185	Ibicaraí	173802	2912103
100	Ibicoara	311070	2912202
195	Ibicuí	161612	2912301
249	Ibipeba	117999	2912400
301	Ibipitanga	92141	2912509
417	Ibiquera	26367	2912608
146	Ibirapitanga	214006	2912707
152	Ibirapuã	208808	2912806
187	Ibirataia	171186	2912905
285	Ibitiara	97800	2913002
274	Ibititá	105589	2913101
88	Ibotirama	337311	2913200
412	Ichu	38498	2913309
192	Igaporã	167008	2913408
180	Igrapiúna	177433	2913457
162	Iguaí	195843	2913507
9	Ilhéus	3874970	2913606
67	Inhambupe	443792	2913705
334	Ipecaetá	79037	2913804
69	Ipiaú	429536	2913903
47	Ipirá	693069	2914000
348	Ipupiara	74125	2914109
383	Irajuba	57290	2914208
338	Iramaia	78037	2914307
90	Iraquara	331163	2914406
133	Irará	240266	2914505
31	Irecê	1016283	2914604
91	Itabela	331073	2914653
40	Itaberaba	799653	2914703
10	Itabuna	3859881	2914802
119	Itacaré	263245	2914901
315	Itaeté	87300	2915007
271	Itagi	107395	2915106
172	Itagibá	187185	2915205
269	Itagimirim	108258	2915304
323	Itaguaçu da Bahia	82810	2915353
368	Itaju do Colônia	65351	2915403
118	Itajuípe	267247	2915502
35	Itamaraju	838539	2915601
331	Itamari	80683	2915700
139	Itambé	220952	2915809
375	Itanagra	60750	2915908
143	Itanhém	219272	2916005
151	Itaparica	209875	2916104
294	Itapé	94674	2916203
51	Itapebi	577798	2916302
32	Itapetinga	1015448	2916401
79	Itapicuru	371220	2916500
333	Itapitanga	79625	2916609
355	Itaquara	70852	2916708
129	Itarantim	244021	2916807
104	Itatim	305711	2916856
303	Itiruçu	91225	2916906
112	Itiúba	281185	2917003
144	Itororó	216694	2917102
168	Ituaçu	193248	2917201
92	Ituberá	325394	2917300
307	Iuiú	90738	2917334
83	Jaborandi	345574	2917359
293	Jacaraci	94754	2917409
27	Jacobina	1268886	2917508
53	Jaguaquara	549746	2917607
107	Jaguarari	289675	2917706
200	Jaguaripe	158940	2917805
165	Jandaíra	194177	2917904
18	Jequié	2438384	2918001
98	Jeremoabo	315003	2918100
268	Jiquiriçá	109084	2918209
252	Jitaúna	117518	2918308
145	João Dourado	216381	2918357
12	Juazeiro	3435777	2918407
289	Jucuruçu	96532	2918456
297	Jussara	94045	2918506
398	Jussari	51054	2918555
385	Jussiape	56631	2918605
414	Lafaiete Coutinho	36946	2918704
317	Lagoa Real	86420	2918753
135	Laje	228387	2918803
381	Lajedão	59012	2918902
393	Lajedinho	53697	2919009
349	Lajedo do Tabocal	73023	2919058
401	Lamarão	49035	2919108
167	Lapão	194053	2919157
6	Lauro de Freitas	6104081	2919207
260	Lençóis	113963	2919306
280	Licínio de Almeida	101050	2919405
68	Livramento de Nossa Senhora	433471	2919504
8	Luís Eduardo Magalhães	3999684	2919553
354	Macajuba	71175	2919603
206	Macarani	152380	2919702
94	Macaúbas	322370	2919801
410	Macururé	40558	2919900
64	Madre de Deus	455520	2919926
407	Maetinga	46058	2919959
300	Maiquinique	93411	2920007
230	Mairi	128983	2920106
236	Malhada	125249	2920205
388	Malhada de Pedras	55756	2920304
267	Manoel Vitorino	109223	2920403
310	Mansidão	88889	2920452
103	Maracás	308900	2920502
74	Maragogipe	402368	2920601
134	Maraú	231972	2920700
343	Marcionílio Souza	76873	2920809
222	Mascote	135288	2920908
30	Mata de São João	1043734	2921005
361	Matina	67183	2921054
105	Medeiros Neto	302756	2921104
140	Miguel Calmon	220896	2921203
304	Milagres	91049	2921302
261	Mirangaba	113282	2921401
378	Mirante	59727	2921450
101	Monte Santo	310814	2921500
376	Morpará	60555	2921609
106	Morro do Chapéu	299843	2921708
316	Mortugaba	86808	2921807
77	Mucugê	390094	2921906
23	Mucuri	1991626	2922003
326	Mulungu do Morro	81518	2922052
211	Mundo Novo	148578	2922102
402	Muniz Ferreira	48567	2922201
233	Muquém do São Francisco	127077	2922250
108	Muritiba	288093	2922300
149	Mutuípe	210022	2922409
127	Nazaré	246709	2922508
228	Nilo Peçanha	129704	2922607
278	Nordestina	102198	2922656
250	Nova Canaã	117992	2922706
357	Nova Fátima	69928	2922730
344	Nova Ibiá	75663	2922755
399	Nova Itarana	50130	2922805
406	Nova Redenção	47251	2922854
179	Nova Soure	177652	2922904
61	Nova Viçosa	469825	2923001
356	Novo Horizonte	70347	2923035
397	Novo Triunfo	51100	2923050
166	Olindina	194095	2923100
199	Oliveira dos Brejinhos	159429	2923209
395	Ouriçangas	52665	2923308
207	Ourolândia	152104	2923357
208	Palmas de Monte Alto	151861	2923407
362	Palmeiras	66632	2923506
171	Paramirim	189972	2923605
158	Paratinga	200638	2923704
111	Paripiranga	283646	2923803
309	Pau Brasil	89312	2923902
19	Paulo Afonso	2267981	2924009
291	Pé de Serra	95639	2924058
411	Pedrão	39629	2924108
273	Pedro Alexandre	106432	2924207
255	Piatã	116625	2924306
153	Pilão Arcado	208213	2924405
191	Pindaí	167047	2924504
242	Pindobaçu	122273	2924603
341	Pintadas	77033	2924652
339	Piraí do Norte	77340	2924678
363	Piripá	66480	2924702
212	Piritiba	144639	2924801
380	Planaltino	59180	2924900
136	Planalto	223299	2925006
62	Poções	468594	2925105
39	Pojuca	800661	2925204
263	Ponto Novo	111251	2925253
17	Porto Seguro	2523425	2925303
330	Potiraguá	80774	2925402
71	Prado	416557	2925501
283	Presidente Dutra	98559	2925600
346	Presidente Jânio Quadros	74388	2925709
138	Presidente Tancredo Neves	221303	2925758
154	Queimadas	208014	2925808
163	Quijingue	194736	2925907
379	Quixabeira	59340	2925931
150	Rafael Jambeiro	209932	2925956
97	Remanso	318465	2926004
256	Retirolândia	116197	2926103
60	Riachão das Neves	472011	2926202
93	Riachão do Jacuípe	324992	2926301
131	Riacho de Santana	241958	2926400
196	Ribeira do Amparo	160957	2926509
57	Ribeira do Pombal	510036	2926608
321	Ribeirão do Largo	84524	2926657
265	Rio de Contas	109725	2926707
286	Rio do Antônio	97702	2926806
337	Rio do Pires	78323	2926905
36	Rio Real	834669	2927002
288	Rodelas	96663	2927101
99	Ruy Barbosa	314916	2927200
189	Salinas da Margarida	167687	2927309
1	Salvador	61102373	2927408
203	Santa Bárbara	156104	2927507
287	Santa Brígida	97608	2927606
85	Santa Cruz Cabrália	339478	2927705
391	Santa Cruz da Vitória	54820	2927804
366	Santa Inês	66205	2927903
272	Santa Luzia	107168	2928000
72	Santa Maria da Vitória	410562	2928059
126	Santa Rita de Cássia	246878	2928109
352	Santa Teresinha	72168	2928208
89	Santaluz	331556	2928307
147	Santana	213894	2928406
386	Santanópolis	56295	2928505
43	Santo Amaro	755103	2928604
21	Santo Antônio de Jesus	2094682	2928703
44	Santo Estêvão	734035	2928802
24	São Desidério	1477592	2928901
367	São Domingos	65380	2928950
176	São Felipe	182468	2929107
188	São Félix	171094	2929008
197	São Félix do Coribe	160392	2929057
4	São Francisco do Conde	11796118	2929206
266	São Gabriel	109391	2929255
42	São Gonçalo dos Campos	770492	2929305
403	São José da Vitória	48553	2929354
336	São José do Jacuípe	78457	2929370
264	São Miguel das Matas	110272	2929404
52	São Sebastião do Passé	560528	2929503
175	Sapeaçu	182552	2929602
193	Sátiro Dias	165579	2929701
243	Saubara	121519	2929750
322	Saúde	82872	2929800
66	Seabra	444046	2929909
342	Sebastião Laranjeiras	76958	2930006
41	Senhor do Bonfim	795942	2930105
73	Sento Sé	406052	2930204
114	Serra do Ramalho	280208	2930154
218	Serra Dourada	137938	2930303
281	Serra Preta	100206	2930402
38	Serrinha	821066	2930501
299	Serrolândia	93453	2930600
7	Simões Filho	4988848	2930709
282	Sítio do Mato	99448	2930758
347	Sítio do Quinto	74128	2930766
78	Sobradinho	384852	2930774
298	Souto Soares	93720	2930808
157	Tabocas do Brejo Velho	204895	2930907
155	Tanhaçu	207657	2931004
219	Tanque Novo	137825	2931053
404	Tanquinho	48412	2931103
182	Taperoá	177260	2931202
239	Tapiramutá	123508	2931301
20	Teixeira de Freitas	2255519	2931350
231	Teodoro Sampaio	128772	2931400
210	Teofilândia	150373	2931509
215	Teolândia	143430	2931608
245	Terra Nova	119529	2931707
257	Tremedal	116144	2931806
70	Tucano	424731	2931905
170	Uauá	192135	2932002
174	Ubaíra	186490	2932101
156	Ubaitaba	206299	2932200
173	Ubatã	186884	2932309
290	Uibaí	96526	2932408
205	Umburanas	154419	2932457
109	Una	287790	2932507
194	Urandi	163105	2932606
159	Uruçuca	199181	2932705
209	Utinga	150627	2932804
25	Valença	1399668	2932903
148	Valente	211864	2933000
313	Várzea da Roça	88150	2933059
332	Várzea do Poço	79762	2933109
275	Várzea Nova	105289	2933158
295	Varzedo	94303	2933174
55	Vera Cruz	521784	2933208
328	Vereda	81205	2933257
5	Vitória da Conquista	6226153	2933307
350	Wagner	72823	2933406
224	Wanderley	132065	2933455
95	Wenceslau Guimarães	319406	2933505
84	Xique-Xique	342261	2933604
