Município	IBGE	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor	Neoplasias (tumores)	Doenças do aparelho circulatório	Causas externas de morbidade e mortalidade	Sint sinais e achados anorm ex clin e labor
291560 Itamaraju	2915601	42	122	77	44	58	35	83	49	48	40	71	68	44	33	69	63	45	29	77	73
291570 Itamari	2915700	6	14	6	2	4	5	2	11	4	4	8	11	2	1	3	10	4	12	3	3
291580 Itambé	2915809	10	20	26	58	13	3	26	74	11	9	13	70	8	7	23	73	9	6	9	53
291590 Itanagra	2915908	3	4	3	2	4	2	6	7	6	0	7	2	4	3	13	2	2	2	6	5
291600 Itanhém	2916005	11	34	28	16	16	14	18	14	27	10	9	16	18	13	13	5	23	8	13	20
291610 Itaparica	2916104	22	47	26	20	18	17	25	22	20	21	16	16	21	15	17	10	16	22	21	4
291620 Itapé	2916203	3	7	5	12	7	7	7	18	10	9	9	14	8	9	14	2	11	13	5	8
291630 Itapebi	2916302	4	13	21	8	8	6	19	11	6	9	13	9	4	3	9	3	5	8	19	3
291640 Itapetinga	2916401	52	142	57	66	50	45	46	136	38	39	60	79	61	40	55	43	50	34	58	44
291650 Itapicuru	2916500	11	27	24	30	18	21	28	18	19	12	25	22	10	12	18	42	12	5	6	68
291660 Itapitanga	2916609	5	13	4	11	5	1	9	8	7	5	5	14	3	7	5	6	9	3	5	12
291670 Itaquara	2916708	4	15	6	10	7	4	7	14	2	11	2	21	5	5	4	22	2	5	2	10
291680 Itarantim	2916807	4	20	9	24	4	4	10	25	6	15	10	29	11	9	8	4	9	8	5	4
291685 Itatim	2916856	12	17	11	10	11	13	17	4	11	22	17	4	12	8	9	2	8	12	13	9
291690 Itiruçu	2916906	7	22	8	21	9	10	6	41	8	8	11	41	9	10	7	35	6	6	10	27
291700 Itiúba	2917003	14	67	20	13	27	24	20	22	21	33	27	37	23	21	34	27	13	22	25	21
291710 Itororó	2917102	14	25	9	20	14	6	15	48	13	6	10	42	17	15	12	38	11	13	17	19
291720 Ituaçu	2917201	17	33	4	14	18	8	14	14	10	4	7	16	12	6	11	20	26	8	11	13
291730 Ituberá	2917300	15	38	16	13	11	23	22	8	14	16	20	22	9	17	20	16	9	13	29	27
291733 Iuiú	2917334	3	13	3	1	2	3	10	3	5	5	7	13	4	7	5	1	3	6	5	9
291735 Jaborandi	2917359	12	7	6	3	4	3	4	0	8	3	7	3	4	4	6	4	6	1	6	2
291740 Jacaraci	2917409	13	19	10	2	9	3	10	8	19	4	7	8	13	3	8	14	13	9	11	15
291750 Jacobina	2917508	50	190	76	65	54	40	98	101	41	46	81	133	36	44	76	170	49	53	79	123
291760 Jaguaquara	2917607	29	62	43	83	46	48	28	112	36	45	38	70	24	36	29	90	39	34	32	57
291770 Jaguarari	2917706	15	32	26	74	11	10	11	95	13	18	25	94	18	6	18	68	12	8	18	88
291780 Jaguaripe	2917805	2	10	25	8	8	5	11	10	9	10	18	14	11	5	10	7	11	8	9	7
291790 Jandaíra	2917904	2	11	10	4	5	1	11	4	4	2	12	7	4	6	3	6	3	3	6	2
291800 Jequié	2918001	125	266	224	284	115	77	177	255	110	71	175	334	96	72	180	241	104	92	142	225
291810 Jeremoabo	2918100	21	53	18	5	45	17	32	6	31	23	28	12	22	16	30	6	24	30	21	8
291820 Jiquiriçá	2918209	7	25	8	4	7	13	11	7	12	13	10	6	7	9	8	13	6	2	5	32
291830 Jitaúna	2918308	6	16	8	28	4	12	5	14	10	12	6	16	7	10	10	39	10	7	6	19
291835 João Dourado	2918357	11	27	26	14	22	6	19	20	19	6	21	25	17	10	15	38	13	4	10	5
291840 Juazeiro	2918407	286	319	200	234	172	64	217	191	195	61	211	155	184	67	196	151	195	64	202	173
291845 Jucuruçu	2918456	2	10	6	18	2	0	13	21	3	0	5	17	4	3	5	12	2	1	8	18
291850 Jussara	2918506	18	21	10	3	11	8	12	4	14	10	14	2	22	8	12	2	8	13	13	2
291855 Jussari	2918555	1	11	10	2	1	3	6	3	3	3	7	4	1	4	4	4	5	4	8	7
291860 Jussiape	2918605	10	27	2	2	7	2	5	0	18	8	6	2	7	0	6	5	7	3	3	3
291870 Lafaiete Coutinho	2918704	1	4	4	5	5	2	1	14	1	2	4	10	3	2	1	2	6	2	2	4
291875 Lagoa Real	2918753	2	15	1	7	7	2	3	13	17	8	5	8	16	5	5	15	5	5	4	6
291880 Laje	2918803	13	27	20	32	19	14	11	17	12	21	22	10	9	15	15	14	14	16	11	5
291890 Lajedão	2918902	2	6	1	2	6	1	2	3	3	3	4	1	1	0	1	1	4	3	2	5
291900 Lajedinho	2919009	0	1	5	7	2	2	2	6	4	1	2	3	2	2	3	5	1	0	23	1
291905 Lajedo do Tabocal	2919058	4	17	3	3	10	1	5	13	4	1	3	23	4	0	11	17	7	3	4	7
291910 Lamarão	2919108	2	7	7	9	7	3	1	7	3	7	4	6	8	3	4	7	2	2	7	13
291915 Lapão	2919157	19	26	22	0	23	14	27	2	29	17	23	3	17	13	18	9	22	18	19	7
291920 Lauro de Freitas	2919207	101	261	254	69	208	66	242	41	184	76	237	45	193	62	303	48	162	66	254	58
291930 Lençóis	2919306	6	8	21	7	4	8	8	5	6	5	8	2	1	3	8	3	8	7	6	8
291940 Licínio de Almeida	2919405	6	13	4	12	7	7	5	7	5	4	8	12	6	6	6	5	13	7	6	3
291950 Livramento de Nossa Senhora	2919504	33	74	14	9	37	15	28	24	31	15	30	10	31	29	23	14	31	18	27	17
291955 Luís Eduardo Magalhães	2919553	14	21	59	36	32	5	96	26	18	6	97	21	11	6	87	12	20	6	67	33
291960 Macajuba	2919603	6	11	5	23	7	7	10	34	10	11	3	14	7	2	4	28	3	8	4	21
291970 Macarani	2919702	10	31	7	25	11	3	8	37	8	3	6	35	12	9	18	43	11	10	17	25
291980 Macaúbas	2919801	28	64	15	59	27	23	19	63	30	18	26	65	27	12	26	79	27	14	19	72
291990 Macururé	2919900	6	9	3	0	5	3	3	2	5	5	3	0	4	5	7	1	4	5	6	2
291992 Madre de Deus	2919926	9	22	14	5	22	6	14	8	17	7	12	5	14	7	16	2	16	2	19	4
291995 Maetinga	2919959	4	16	0	2	5	4	3	0	3	3	2	4	4	4	5	2	5	2	2	2
